run,fitness,matches,elapsed_time_seconds,expression,is_new_best
152,-6480.0,12,744.8651275634766,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
153,-6480.0,12,734.466653585434,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
154,-6480.0,12,743.6138515472412,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
155,-6480.0,12,711.8795166015625,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
156,-6480.0,12,750.5051035881042,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
157,-6480.0,12,700.4583282470703,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
158,-6480.0,12,710.2328221797943,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
159,-6480.0,12,704.9865415096283,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
160,-6480.0,12,720.6028363704681,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
161,-6480.0,12,725.5821821689606,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
162,-6480.0,12,731.792929649353,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
163,-6480.0,12,718.973863363266,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
164,-6480.0,12,720.5374341011047,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
165,-6480.0,12,751.0298888683319,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
166,-6480.0,12,731.3658194541931,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
167,-6480.0,12,714.0632615089417,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
168,-6480.0,12,712.7673764228821,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
169,-6480.0,12,721.2231104373932,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
170,-6480.0,12,694.1119475364685,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
171,-6480.0,12,706.7986633777618,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
172,-6480.0,12,706.0471620559692,"((5 | floor(nroot(n, ln2))) min ((n min 5) + cosh(log2((cosh(sqrt(n)) + (n // pi))))))",False
