machine | field | kills in window | mirror is a kill of the same field | mirror is a kill of any field | mirror is a twin member
31 | lower1:17 | 8 | 0/8 | 8/8 | 0/8
31 | lower1:19 | 8 | 0/8 | 8/8 | 0/8
31 | lower1:23 | 8 | 0/8 | 8/8 | 0/8
31 | lower1:29 | 8 | 0/8 | 8/8 | 0/8
31 | lower1:31 | 9 | 0/9 | 9/9 | 0/9
31 | lower1:37 | 8 | 0/8 | 8/8 | 0/8
31 | lower1:41 | 7 | 0/7 | 7/7 | 0/7
31 | lower1:43 | 6 | 0/6 | 6/6 | 0/6
31 | lower1:47 | 6 | 0/6 | 6/6 | 0/6
31 | lower1:53 | 5 | 0/5 | 5/5 | 0/5
31 | lower1:59 | 4 | 0/4 | 4/4 | 0/4
31 | lower1:61 | 4 | 0/4 | 4/4 | 0/4
31 | lower1:67 | 4 | 0/4 | 4/4 | 0/4
31 | lower1:71 | 4 | 0/4 | 4/4 | 0/4
31 | lower1:73 | 4 | 0/4 | 4/4 | 0/4
31 | lower1:79 | 3 | 0/3 | 3/3 | 0/3
31 | lower1:83 | 3 | 0/3 | 3/3 | 0/3
31 | lower1:89 | 2 | 0/2 | 2/2 | 0/2
31 | lower1:97 | 2 | 0/2 | 2/2 | 0/2
31 | lower1:101 | 2 | 0/2 | 2/2 | 0/2
31 | lower1:103 | 2 | 0/2 | 2/2 | 0/2
31 | lower1:107 | 2 | 0/2 | 2/2 | 0/2
31 | lower1:109 | 2 | 0/2 | 2/2 | 0/2
31 | lower1:113 | 2 | 0/2 | 2/2 | 0/2
31 | lower1:127 | 2 | 0/2 | 2/2 | 0/2
31 | lower1:131 | 2 | 0/2 | 2/2 | 0/2
31 | lower1:137 | 2 | 0/2 | 2/2 | 0/2
31 | lower1:139 | 1 | 0/1 | 1/1 | 0/1
31 | lower1:149 | 1 | 0/1 | 1/1 | 0/1
31 | lower1:151 | 1 | 0/1 | 1/1 | 0/1
31 | lower1:157 | 1 | 0/1 | 1/1 | 0/1
31 | lower1:163 | 1 | 0/1 | 1/1 | 0/1
31 | lower1:167 | 1 | 0/1 | 1/1 | 0/1
31 | lower1:173 | 1 | 0/1 | 1/1 | 0/1
31 | lower1:179 | 1 | 0/1 | 1/1 | 0/1
31 | lower1:181 | 1 | 0/1 | 1/1 | 0/1
31 | lower1:191 | 1 | 0/1 | 1/1 | 0/1
31 | multiples | 159 | 159/159 | 159/159 | 0/159
31 | products:2 | 131 | 26/131 | 131/131 | 0/131
31 | products:3 | 26 | 6/26 | 26/26 | 0/26
31 | products:4 | 2 | 2/2 | 2/2 | 0/2
31 | squares | 8 | 0/8 | 8/8 | 0/8

by field kind: kills whose mirror is a kill of the same field
  higher1:g<=q: 331/405 = 0.817
  higher:g<=q: 494/495 = 0.998
  lower1:g<=q: 1/168 = 0.006
  lower1:g>q: 0/263 = 0.000
  lower:g<=q: 1/232 = 0.004
  lower:g>q: 0/263 = 0.000
  multiples: 494/495 = 0.998
  products: 127/495 = 0.257
  squares: 0/43 = 0.000
