Q	Qn	a	k_lo	k_hi	W	S	N_A	N_A_sec	twins	twins_sec	surv	surv_sec	ok	sum_fresh	R	R_sec	prod	maxDf	gDf	NcurDf	freshDf	maxDr	gDr	maxDfs	gDfs	NcurDfs	freshDfs	E_win	E_sec	top_max	room	pct_mean	pct_sec_mean	maxDl	gDl	NliveDl	pct_live_mean	E_live
1721	1723	19	288	494787	494500	1147	115827	266	20673	47	20673	47	1	95154	0.9364	0.9270	0.1906	-61.5823	79	62433	1519	-11.8893	1021	4.1724	29	244	21	0.1278	0.7375	24.3367	10.0023	0.8822	0.5290	68.1768	509	26932	0.9346	0.3599
1723	1733	19	288	500547	500260	5759	117179	1352	20893	220	20893	220	1	96286	0.9365	0.8547	0.1904	59.9494	257	39713	369	-11.5377	1021	-5.8966	29	1231	79	0.1272	0.4161	24.2519	10.0128	0.8819	0.5240	68.7505	509	27295	0.9316	0.3442
1733	1741	19	290	505179	504890	4631	118263	1084	21053	160	21053	160	1	97210	0.9361	0.7762	0.1902	62.1790	257	40069	374	12.4580	131	-6.3820	89	551	6	0.1276	0.5234	24.4376	10.0208	0.8845	0.5345	68.6621	509	27572	0.9320	0.3368
1741	1747	19	291	508667	508377	3487	119080	817	21168	115	21168	115	1	97912	0.9358	0.7410	0.1900	61.9300	257	40358	376	14.3894	113	-6.4124	97	408	2	0.1280	0.6275	24.5723	10.0266	0.8824	0.5514	68.2568	257	39545	0.9305	0.3424
1747	1753	19	292	512167	511876	3499	119905	825	21304	136	21304	136	1	98601	0.9364	0.8688	0.1897	62.6031	257	40657	379	14.7876	113	7.0732	41	634	38	0.1283	0.4828	24.5874	10.0323	0.8841	0.5145	68.9300	257	39844	0.9284	0.3360
1753	1759	19	293	515679	515387	3511	120722	817	21458	154	21458	154	1	99264	0.9379	0.9946	0.1895	61.2218	257	40963	380	11.9160	131	-4.1186	59	505	13	0.1272	0.4091	24.5655	10.0380	0.8878	0.5270	67.9980	509	28250	0.9345	0.3347
1759	1777	19	294	526287	525994	10607	123204	2481	21826	368	21826	368	1	101378	0.9358	0.7835	0.1893	62.7315	257	41797	388	-13.3399	1021	7.9355	31	2109	144	0.1274	0.3858	24.8164	10.0572	0.8865	0.5391	69.0584	257	40984	0.9340	0.3324
1777	1783	19	297	529847	529551	3559	124045	840	21944	118	21944	118	1	102101	0.9356	0.7429	0.1891	63.5681	257	42075	391	13.1832	131	5.9565	23	840	79	0.1281	0.6480	24.9505	10.0629	0.8915	0.5647	69.8949	257	41262	0.9360	0.3298
1783	1787	19	298	532227	531930	2379	124601	555	22037	93	22037	93	1	102564	0.9364	0.8872	0.1889	64.9416	257	42284	394	-12.0764	1021	-7.2609	23	555	41	0.1278	0.6045	24.8047	10.0662	0.8885	0.5479	71.2685	257	41471	0.9348	0.3482
1787	1789	19	299	533419	533121	1191	124877	276	22084	48	22084	48	1	102793	0.9373	0.9218	0.1887	65.1323	257	42388	395	-12.6170	1021	4.0000	23	276	28	0.1275	0.7100	24.8576	10.0673	0.8910	0.5188	71.4514	257	41576	0.9343	0.3400
1789	1801	19	299	540599	540301	7179	126556	1679	22360	276	22360	276	1	104196	0.9375	0.8723	0.1885	65.4708	257	42987	400	13.1304	23	7.1967	61	1031	41	0.1271	0.3787	25.0252	10.0795	0.8947	0.5380	71.7899	257	42175	0.9380	0.3296
1801	1811	19	301	546619	546319	6019	127966	1409	22564	204	22564	204	1	105402	0.9367	0.7691	0.1882	68.7432	257	43466	407	12.5217	23	5.9677	31	1194	83	0.1272	0.4995	25.2253	10.0895	0.8923	0.5545	75.0623	257	42654	0.9383	0.3292
1811	1823	19	303	553887	553585	7267	129672	1705	22823	259	22823	259	1	106849	0.9360	0.8078	0.1880	70.2062	257	44049	413	11.9204	113	-6.5135	37	1360	67	0.1274	0.4319	25.5159	10.1017	0.8899	0.5356	76.5253	257	43237	0.9336	0.3279
1823	1831	19	305	558759	558455	4871	130814	1142	22989	166	22989	166	1	107825	0.9356	0.7739	0.1878	71.3191	257	44420	417	11.8397	131	-3.9070	43	815	34	0.1274	0.5365	25.5303	10.1093	0.8869	0.5325	77.6381	257	43608	0.9360	0.3276
1831	1847	19	306	568567	568262	9807	133108	2295	23349	360	23349	360	1	109759	0.9349	0.8360	0.1876	69.1323	257	45215	421	-11.7807	1049	11.8108	37	1835	111	0.1267	0.3522	25.9334	10.1256	0.8893	0.5258	75.4514	257	44403	0.9340	0.3244
1847	1861	19	309	577219	576911	8651	135135	2028	23651	302	23651	302	1	111484	0.9338	0.7945	0.1874	67.6848	257	45915	425	13.8702	131	9.0377	53	1324	59	0.1270	0.4156	26.2732	10.1396	0.8835	0.5410	74.0039	257	45103	0.9326	0.3251
1861	1867	19	311	580947	580637	3727	136009	873	23770	119	23770	119	1	112239	0.9335	0.7281	0.1872	68.3191	257	46219	428	13.5267	131	4.7586	29	801	60	0.1271	0.6265	26.4064	10.1450	0.8777	0.5434	74.6381	257	45407	0.9300	0.3306
1867	1871	19	312	583439	583128	2491	136590	580	23856	86	23856	86	1	112734	0.9339	0.7928	0.1870	67.7315	257	46423	429	12.6565	131	4.5652	23	580	55	0.1272	0.6741	26.5042	10.1482	0.8806	0.5462	74.0506	257	45611	0.9341	0.3409
1871	1873	19	313	584687	584375	1247	136884	294	23897	42	23897	42	1	112987	0.9345	0.7647	0.1868	66.9222	257	46527	429	15.1679	131	3.4043	47	202	12	0.1272	0.8616	26.5497	10.1493	0.8796	0.5283	73.2335	257	45716	0.9319	0.3353
1873	1877	19	313	587187	586875	2499	137471	587	23985	88	23985	88	1	113486	0.9349	0.8033	0.1866	66.3969	257	46723	430	12.2061	131	-5.1351	37	465	20	0.1274	0.6353	25.6507	10.1525	0.8775	0.5231	72.7082	257	45912	0.9293	0.3385
1877	1879	19	314	588439	588126	1251	137758	287	24030	46	24030	46	1	113728	0.9357	0.8598	0.1864	66.6109	257	46824	431	10.8244	131	-3.2553	47	194	5	0.1274	0.7302	25.7018	10.1535	0.8779	0.5102	72.9144	257	46014	0.9306	0.3335
1879	1889	19	314	594719	594406	6279	139232	1474	24257	227	24257	227	1	114975	0.9355	0.8270	0.1862	66.6109	257	47338	435	12.3206	131	-8.1739	23	1474	120	0.1270	0.4608	25.8466	10.1631	0.8779	0.5575	72.9144	257	46528	0.9280	0.3274
1889	1901	19	316	602299	601984	7579	141009	1777	24529	272	24529	272	1	116480	0.9351	0.8228	0.1860	67.7471	257	47963	441	12.1908	131	5.6390	277	604	10	0.1273	0.4306	26.1364	10.1747	0.8787	0.5490	74.0506	257	47153	0.9309	0.3266
1901	1907	19	318	606107	605790	3807	141899	890	24680	151	24680	151	1	117219	0.9359	0.9130	0.1858	65.2879	257	48279	441	-11.7742	31	4.3373	83	484	16	0.1272	0.4407	26.1302	10.1800	0.8806	0.5116	72.8919	509	33876	0.9278	0.3217
1907	1913	19	319	609927	609609	3819	142797	899	24815	135	24815	135	1	117982	0.9361	0.8089	0.1856	63.4204	383	41475	280	-10.7157	197	5.6901	71	508	20	0.1270	0.5620	26.2732	10.1852	0.8812	0.5410	72.9528	509	34115	0.9300	0.3216
